Price,Close,High,Low,Open,Volume
Ticker,005930.KS,005930.KS,005930.KS,005930.KS,005930.KS
Date,,,,,
2023-02-10,58848.71484375,58942.27400884341,58380.91901828299,58568.0373484698,44786
2023-02-13,58848.71484375,58942.27400884341,58287.35985318959,58848.71484375,59395
2023-02-14,59129.39453125,59784.308711184734,59129.39453125,59503.63120549842,70606
2023-02-15,58193.796875,59784.30257737138,58006.67855707395,59784.30257737138,58370
2023-02-16,59597.1953125,59597.1953125,58380.926020408166,58474.48519672292,41448
2023-02-17,58568.04296875,59222.957187250395,58380.924620607024,58848.72049096446,28613
2023-02-20,58661.6015625,58942.2790819378,57819.569004186604,58848.71990879187,29846
2023-02-21,58100.2421875,58755.156350644116,58006.683021336554,58661.59718448067,60971
2023-02-22,57164.64453125,57819.55862571604,57071.08537489771,57538.88115665917,39178
2023-02-23,58006.6875,58474.483366935485,57538.891633064515,57726.00997983871,37145
2023-02-24,57351.77734375,58568.04668382953,57351.77734375,58287.36914381118,50792
2023-02-27,56603.30078125,56883.978305785124,56322.623256714876,56883.978305785124,11155697
2023-02-28,56696.85546875,57445.32880827146,56603.29630130982,56883.97380363037,13715861
2023-03-02,56883.97265625,57819.56431178043,56603.295159590874,56977.531821803044,13095682
2023-03-03,56603.30078125,57258.21500516529,56603.30078125,57071.09665547521,10711405
2023-03-06,57538.88671875,57632.44588414634,56883.972560975606,57164.65005716463,13630602
2023-03-07,56790.41015625,57445.32427666804,56790.41015625,57445.32427666804,11473280
2023-03-08,56416.18359375,56603.30194729478,56041.94688666045,56229.06524020523,14161857
2023-03-09,56229.06640625,56883.98065723794,56041.948048824874,56603.30312110025,14334499
2023-03-10,55667.70703125,55854.82537421219,55293.47034532563,55667.70703125,11902471
2023-03-13,56135.50390625,56322.62225260417,55480.589694010414,56041.944733072916,12779724
2023-03-14,55199.90625,55667.702065677964,55199.90625,55574.14290254237,12147346
2023-03-15,55948.38671875,56416.18259432483,55761.26836852007,56135.50506897993,10482149
2023-03-16,56041.94140625,56322.61890911937,55293.46806526503,55387.02723288815,10611939
2023-03-17,57351.77734375,57351.77734375,56696.86308370718,56883.981443719415,14090110
2023-03-20,56322.62109375,57258.21280627076,56322.62109375,57164.65363501869,9618009
2023-03-21,56416.18359375,56790.420300839556,56229.06524020523,56603.30194729478,8318514
2023-03-22,57164.64453125,57258.20368760229,56603.28959313625,57071.08537489771,8978591
2023-03-23,58287.3671875,58287.3671875,56696.86118077849,56696.86118077849,15381057
2023-03-24,58942.27734375,59222.95485491072,58287.36315104167,58661.59983258929,18278602
2023-03-27,58100.2421875,58755.156350644116,58006.683021336554,58568.03801831723,11039331
2023-03-28,58848.71484375,58848.71484375,58100.241523002784,58380.91901828299,11614118
2023-03-29,58661.6015625,58661.6015625,58193.80569677034,58474.48321620814,11216008
2023-03-30,59471.80859375,59942.313408573966,59377.707630785204,59942.313408573966,15684377
2023-03-31,60224.62109375,60224.62109375,59942.31818237305,60224.62109375,14094479
2023-04-03,59377.703125,60224.6117274168,59283.602169175916,60224.6117274168,11973133
2023-04-04,59848.19921875,60036.40110308569,59095.391681407236,59659.99733441431,11120514
2023-04-05,60130.51171875,60224.61267605634,59660.00693221831,59942.30980413732,9176149
2023-04-06,58624.90234375,59848.21491272071,58624.90234375,59754.1139458768,14992747
2023-04-07,61165.625,61353.82692307692,60036.41346153846,60036.41346153846,27476120
2023-04-10,61824.3359375,62388.941745148404,60883.326258085996,60977.427226027394,18777166
2023-04-11,62012.53515625,62294.838047704856,61542.03033715857,62294.838047704856,16323183
2023-04-12,62106.640625,62294.84256628788,61447.933830492424,61918.43868371212,15021313
